date,hightemp,lowtemp,injured
2017-01-01,6.9,-1.6,127
2017-01-02,9.2,1.8,140
2017-01-03,7.7,-2.3,119
2017-01-04,8.9,1.0,164
2017-01-05,7.3,-0.1,154
2017-01-06,11.4,2.5,135
2017-01-07,10.5,0.0,169
2017-01-08,10.9,4.0,114
2017-01-09,4.3,-3.1,108
2017-01-10,1.1,-7.4,145
2017-01-11,1.5,-9.4,187
2017-01-12,1.0,-6.1,164
2017-01-13,-1.4,-8.6,173
2017-01-14,-5.4,-10.5,179
2017-01-15,-0.9,-11.5,173
2017-01-16,4.0,-8.9,186
2017-01-17,3.4,-7.1,116
2017-01-18,2.8,-3.0,156
2017-01-19,4.7,-4.9,127
2017-01-20,-1.4,-7.8,96
2017-01-21,-0.9,-10.0,170
2017-01-22,-3.3,-10.9,139
2017-01-23,-4.1,-12.6,216
2017-01-24,-1.3,-11.6,252
2017-01-25,0.9,-10.2,247
2017-01-26,3.4,-7.9,223
2017-01-27,3.1,-5.7,101
2017-01-28,4.3,-8.2,101
2017-01-29,2.5,-0.9,117
2017-01-30,-0.9,-7.9,110
2017-01-31,0.2,-9.9,117
2017-02-01,0.7,-7.5,97
2017-02-02,3.3,-9.2,114
2017-02-03,6.7,-2.3,158
2017-02-04,3.2,-2.9,135
2017-02-05,2.3,-1.5,126
2017-02-06,2.6,-4.4,129
2017-02-07,3.0,-5.6,112
2017-02-08,0.6,-4.9,148
2017-02-09,-2.1,-7.1,134
2017-02-10,-2.5,-9.3,150
2017-02-11,0.8,-9.2,153
2017-02-12,4.2,-7.4,147
2017-02-13,6.1,-5.4,170
2017-02-14,6.5,-4.0,118
2017-02-15,8.0,-3.9,127
2017-02-16,10.3,-1.9,119
2017-02-17,9.0,-5.2,171
2017-02-18,2.9,-7.0,217
2017-02-19,5.7,-3.4,120
2017-02-20,5.4,-5.2,148
2017-02-21,6.9,-7.6,120
2017-02-22,2.9,-0.9,132
2017-02-23,2.1,-4.2,143
2017-02-24,4.4,-5.8,138
2017-02-25,8.4,-2.8,200
2017-02-26,10.1,-1.5,123
2017-02-27,10.7,-1.8,127
2017-02-28,12.3,-1.3,133
2017-03-01,11.4,2.0,167
2017-03-02,6.6,-1.1,116
2017-03-03,10.4,-3.1,139
2017-03-04,12.7,0.1,170
2017-03-05,10.4,1.2,134
2017-03-06,4.0,-2.8,131
2017-03-07,2.9,-4.0,122
2017-03-08,5.0,-5.3,158
2017-03-09,10.7,-2.7,115
2017-03-10,12.2,-1.2,161
2017-03-11,16.7,-0.2,156
2017-03-12,14.0,4.4,115
2017-03-13,12.2,1.5,148
2017-03-14,10.9,1.0,126
2017-03-15,13.3,0.4,165
2017-03-16,13.4,1.0,117
2017-03-17,15.7,1.2,136
2017-03-18,16.1,5.9,151
2017-03-19,18.9,3.2,104
2017-03-20,15.5,6.0,126
2017-03-21,12.6,4.3,126
2017-03-22,14.1,1.9,145
2017-03-23,15.0,5.1,149
2017-03-24,15.2,3.9,158
2017-03-25,12.6,5.0,123
2017-03-26,11.6,4.8,109
2017-03-27,10.9,4.4,139
2017-03-28,12.7,2.5,136
2017-03-29,14.4,4.7,153
2017-03-30,17.1,4.1,130
2017-03-31,12.4,4.9,145
2017-04-01,15.1,4.8,159
2017-04-02,15.8,3.1,131
2017-04-03,19.2,4.3,114
2017-04-04,21.8,6.7,114
2017-04-05,14.2,10.8,167
2017-04-06,12.4,9.4,148
2017-04-07,23.5,9.0,155
2017-04-08,19.9,8.6,213
2017-04-09,20.5,10.6,142
2017-04-10,23.3,10.1,132
2017-04-11,20.2,11.5,177
2017-04-12,16.4,8.8,141
2017-04-13,19.6,6.3,125
2017-04-14,17.7,10.1,123
2017-04-15,24.3,10.9,164
2017-04-16,24.4,12.9,130
2017-04-17,18.0,11.2,118
2017-04-18,17.4,9.4,157
2017-04-19,18.4,7.0,158
2017-04-20,18.2,9.9,135
2017-04-21,19.3,7.6,156
2017-04-22,22.5,8.5,174
